Wavelength (nm),PpIX634,PpIX620,Lipofuscin,Flavin,NADH,FAD,Collagen,Elastin,Melanin
708,0.079376922,0.012224419,0.055145703,0,0.001498362,0,0,0,2.70E-05
709,0.075688379,0.007191987,0.054586128,0,0.001471263,0,0,0,1.02E-05
710,0.071825991,0.003730592,0.054044462,0,0.001444654,0,0,0,0
711,0.067957244,0.001508577,0.053509634,0,0.001418526,0,0,0,0
712,0.064195798,0.000229681,0.052981486,0,0.001392871,0,0,0,0
713,0.060568902,0,0.052475266,0,0.001367679,0,0,0,0
714,0.057023123,0,0.052011182,0,0.001342944,0,0,0,0
715,0.053409578,0,0.051606527,0,0.001318656,0,0,0,0
716,0.049431009,0.000185757,0.05127094,0,0.00129481,0,0,0,0
717,0.045556677,0.000147965,0.051004279,0,0.001271396,0,0,0,0
718,0.042016414,0,0.050755751,0,0.001248407,0,0,0,0
719,0.03877539,0,0.050525889,0,0.001225835,0,0,0,0
720,0.03592776,0,0.050307632,0,0.001203671,0,0,0,0
